iter	Passed	Remaining
409	5036	7247
410	5047	7233
411	5059	7220
412	5071	7207
413	5082	7193
414	5093	7179
415	5105	7166
416	5116	7153
417	5127	7139
418	5138	7125
419	5150	7112
420	5164	7102
421	5174	7087
422	5184	7072
423	5196	7059
424	5208	7046
425	5222	7036
426	5235	7025
427	5247	7013
428	5258	6998
429	5269	6985
430	5281	6973
431	5292	6959
432	5304	6946
433	5316	6933
434	5327	6920
435	5338	6906
436	5349	6892
437	5360	6878
438	5372	6865
439	5382	6850
440	5395	6839
441	5408	6828
442	5421	6816
443	5433	6804
444	5445	6791
445	5457	6779
446	5469	6766
447	5481	6754
448	5492	6740
449	5503	6726
450	5515	6713
451	5526	6700
452	5539	6689
453	5550	6675
454	5561	6662
455	5572	6648
456	5583	6634
457	5595	6622
458	5607	6609
459	5619	6597
460	5632	6584
461	5643	6571
462	5656	6560
463	5670	6549
464	5682	6538
465	5694	6525
466	5707	6514
467	5719	6502
468	5732	6489
469	5743	6476
470	5753	6462
471	5766	6450
472	5779	6439
473	5793	6429
474	5806	6417
475	5818	6405
476	5832	6395
477	5845	6383
478	5859	6373
479	5876	6366
480	5889	6354
481	5901	6342
482	5913	6329
483	5925	6316
484	5937	6304
485	5949	6291
486	5960	6278
487	5971	6264
488	5982	6251
489	5994	6238
490	6005	6225
491	6017	6213
492	6029	6201
493	6041	6188
494	6052	6174
495	6064	6161
496	6075	6148
497	6086	6135
498	6097	6122
499	6108	6108
500	6120	6096
501	6132	6083
502	6144	6071
503	6156	6059
504	6167	6045
505	6178	6031
506	6190	6019
507	6204	6009
508	6216	5997
509	6228	5984
510	6239	5971
511	6251	5958
512	6263	5946
513	6275	5933
514	6288	5922
515	6301	5910
516	6312	5897
517	6323	5884
518	6335	5871
519	6345	5857
520	6356	5844
521	6368	5831
522	6380	5818
523	6391	5806
524	6403	5793
525	6414	5780
526	6428	5769
527	6441	5758
528	6454	5746
529	6466	5734
530	6477	5721
531	6489	5708
532	6500	5695
533	6511	5682
534	6523	5670
535	6535	5657
536	6546	5644
537	6557	5631
538	6568	5617
539	6579	5605
540	6591	5592
541	6602	5579
542	6613	5566
543	6625	5553
544	6636	5540
545	6648	5527
546	6659	5514
547	6672	5503
548	6685	5492
549	6698	5480
550	6710	5468
551	6723	5456
552	6735	5444
553	6748	5432
554	6760	5420
555	6771	5407
556	6783	5395
557	6796	5383
558	6807	5370
559	6819	5358
560	6830	5345
561	6842	5332
562	6856	5321
563	6868	5309
564	6880	5297
565	6893	5285
566	6905	5273
567	6919	5262
568	6931	5250
569	6943	5237
570	6955	5225
571	6967	5213
572	6979	5200
573	6990	5188
574	7001	5175
575	7013	5162
576	7026	5151
577	7037	5138
578	7048	5124
579	7059	5112
580	7071	5099
581	7082	5086
582	7092	5073
583	7102	5059
584	7114	5047
585	7125	5034
586	7138	5022
587	7150	5010
588	7165	5000
589	7178	4988
590	7190	4976
591	7202	4963
592	7213	4950
593	7224	4938
594	7235	4925
595	7247	4912
596	7259	4900
597	7270	4887
598	7282	4874
599	7293	4862
600	7305	4849
601	7316	4837
602	7327	4824
603	7339	4812
604	7350	4799
605	7361	4786
606	7373	4774
607	7386	4762
608	7397	4749
609	7409	4737
610	7421	4725
611	7433	4713
612	7445	4700
613	7457	4688
614	7469	4675
615	7480	4663
616	7492	4651
617	7504	4638
618	7516	4626
619	7527	4613
620	7539	4601
621	7551	4589
622	7563	4576
623	7575	4564
624	7586	4551
625	7598	4539
626	7611	4528
627	7622	4515
628	7632	4502
629	7646	4490
630	7659	4479
631	7673	4467
632	7685	4455
633	7696	4442
634	7707	4430
635	7719	4418
636	7731	4405
637	7742	4392
638	7754	4380
639	7766	4368
640	7777	4355
641	7790	4343
642	7802	4332
643	7815	4320
644	7827	4308
645	7838	4295
646	7849	4282
647	7860	4269
648	7872	4257
649	7884	4245
650	7896	4233
651	7910	4222
652	7924	4211
653	7936	4198
654	7948	4186
655	7960	4174
656	7973	4162
657	7985	4150
658	7998	4138
659	8010	4126
660	8021	4113
661	8032	4101
662	8044	4088
663	8057	4077
664	8068	4064
665	8082	4053
666	8095	4041
667	8106	4028
668	8118	4016
669	8129	4003
670	8141	3991
671	8153	3979
672	8166	3967
673	8179	3956
674	8190	3943
675	8201	3930
676	8211	3917
677	8223	3905
678	8234	3892
679	8246	3880
680	8257	3868
681	8268	3855
682	8281	3843
683	8292	3831
684	8303	3818
685	8313	3805
686	8324	3792
687	8335	3780
688	8346	3767
689	8357	3754
690	8370	3743
691	8382	3731
692	8394	3718
693	8405	3706
694	8418	3694
695	8430	3682
696	8441	3669
697	8455	3658
698	8466	3645
699	8478	3633
700	8489	3620
701	8500	3608
702	8511	3595
703	8523	3583
704	8536	3571
705	8547	3559
706	8559	3547
707	8572	3535
708	8584	3523
709	8596	3511
710	8607	3498
711	8619	3486
712	8630	3473
713	8642	3461
714	8652	3449
715	8664	3436
716	8676	3424
717	8687	3412
718	8699	3399
719	8710	3387
