iter	RMSE
184	34393.49714
185	34341.87269
186	34280.9356
187	34241.24522
188	34197.59874
189	34154.17375
190	34115.42365
191	34080.89498
192	34037.16726
193	34001.35839
194	33952.63653
195	33919.56037
196	33851.89001
197	33831.75633
198	33808.61273
199	33781.88345
200	33747.00764
201	33723.56539
202	33683.04687
203	33642.93944
204	33584.45873
205	33542.7678
206	33498.43761
207	33468.57104
208	33443.81408
209	33406.36169
210	33364.28996
211	33325.47519
212	33293.44501
213	33263.48315
214	33239.77037
215	33214.41665
216	33179.25271
217	33151.94894
218	33115.62244
219	33087.8878
220	33039.40433
221	33003.55061
222	32970.62639
223	32945.50185
224	32923.98629
225	32888.57968
226	32863.23969
227	32807.48206
228	32778.29292
229	32748.62279
230	32725.09651
231	32703.90983
232	32682.70936
233	32663.42736
234	32636.41849
235	32595.10488
236	32563.11013
237	32532.62953
238	32496.94718
239	32473.55282
240	32455.79638
241	32424.571
242	32386.40599
243	32343.69068
244	32316.32939
245	32295.72871
246	32272.77045
247	32241.7467
248	32220.82497
249	32199.61364
250	32173.65313
251	32145.2995
252	32116.19122
253	32069.72324
254	32023.95675
255	32000.41101
256	31970.79814
257	31957.61093
258	31924.26724
259	31893.13363
260	31868.21608
261	31853.54064
262	31835.9353
263	31818.87109
264	31795.47598
265	31755.09449
266	31729.65724
267	31699.18421
268	31684.85785
269	31666.91259
270	31653.39104
271	31634.03608
272	31610.3933
273	31578.92554
274	31549.00941
275	31502.54864
276	31485.58612
277	31465.19271
278	31446.57391
279	31423.21623
280	31410.89886
281	31401.68365
282	31382.27987
283	31346.18628
284	31312.57613
285	31279.91757
286	31222.68336
287	31205.25379
288	31186.58351
289	31154.03716
290	31135.15322
291	31114.96025
292	31093.17927
293	31083.81689
294	31068.21674
295	31055.85297
296	31036.2303
297	31013.57893
298	30981.58358
299	30946.76762
300	30927.37513
301	30909.56175
302	30891.09961
303	30868.87037
304	30835.66286
305	30811.54798
306	30796.4787
307	30772.57897
308	30758.14144
309	30724.01028
310	30706.4738
311	30683.63279
312	30667.93984
313	30646.09178
314	30627.18134
315	30598.63173
316	30577.3812
317	30568.79185
318	30542.38497
319	30532.95349
320	30507.9115
321	30482.0825
322	30464.64648
323	30452.12712
324	30442.47241
325	30422.72395
326	30409.72774
327	30397.95233
328	30380.92137
329	30360.19316
330	30344.38546
331	30326.71407
332	30311.53394
333	30276.02076
334	30261.3085
335	30248.13709
336	30235.71086
337	30216.93889
338	30202.28422
339	30180.35198
340	30165.23647
341	30149.59945
342	30124.63118
343	30113.58548
344	30100.91344
345	30071.26062
346	30051.52258
347	30019.37959
348	29999.13762
349	29986.50456
350	29963.98676
351	29940.28095
352	29925.87177
353	29904.78654
354	29888.6702
355	29879.6567
356	29864.73773
357	29848.27703
358	29832.10847
359	29814.04731
360	29794.1158
361	29781.44005
362	29760.14333
363	29741.28692
364	29715.20193
365	29703.1463
366	29683.13778
367	29666.82223
368	29651.98442
369	29634.87761
370	29626.74295
371	29603.02346
372	29589.09624
373	29578.45833
374	29563.11827
375	29550.02265
376	29537.12045
377	29521.28239
378	29491.55192
379	29481.84065
380	29462.31093
381	29444.40463
382	29427.26397
383	29405.50155
384	29391.39063
385	29381.31061
386	29366.30618
387	29350.32406
388	29337.9958
389	29328.23841
390	29304.0755
391	29282.67609
392	29277.5999
393	29260.74689
394	29249.48875
395	29231.47172
396	29218.45134
397	29201.6966
398	29185.37568
399	29179.59181
400	29169.40143
401	29158.6459
402	29141.85179
403	29109.04627
404	29100.03442
405	29091.34345
406	29079.83002
407	29064.882
408	29047.62171
409	29031.6143
410	29019.15948
411	28998.95206
412	28988.47212
413	28977.23377
414	28969.37122
415	28949.86139
416	28940.33275
417	28924.61764
418	28916.67543
419	28902.35488
420	28883.17392
421	28869.86529
422	28858.77015
423	28826.66036
424	28814.57512
425	28808.0431
426	28795.72044
427	28750.78516
428	28733.01442
429	28721.85452
430	28705.03914
431	28694.65826
432	28676.13539
433	28666.24126
434	28650.49936
435	28642.35675
436	28628.7803
437	28619.09531
438	28612.41011
439	28600.949
440	28594.01107
441	28578.10466
442	28565.53921
443	28547.21442
444	28534.27277
445	28528.3399
446	28509.18645
447	28503.45925
448	28494.73409
449	28485.77048
450	28473.66612
451	28461.96422
452	28452.42907
453	28442.45131
454	28429.2205
455	28416.71474
456	28411.4414
457	28406.18887
458	28398.30723
459	28382.72685
460	28372.10559
461	28358.99213
462	28345.26604
463	28335.20652
464	28308.96422
465	28291.99317
466	28281.27115
467	28274.64543
468	28260.68407
469	28252.75411
470	28243.75859
471	28235.30775
472	28224.49321
473	28204.69422
474	28192.23463
475	28181.80823
476	28167.81374
477	28159.64211
478	28146.43565
479	28136.02309
480	28128.65792
481	28122.78888
482	28114.10618
483	28106.43433
484	28098.19893
485	28084.39565
486	28068.21074
487	28064.47443
488	28057.50203
489	28038.05622
490	28027.97155
491	28020.53842
492	28007.35811
493	27999.29436
494	27992.05198
495	27978.93892
496	27969.81482
497	27960.02255
498	27949.05143
499	27939.74017
500	27927.99877
501	27915.40671
502	27904.46903
503	27891.14383
504	27880.18135
505	27873.22218
506	27863.59848
507	27857.23518
508	27839.17796
509	27829.67367
510	27818.18956
511	27810.62711
512	27792.34204
513	27782.06667
514	27768.60579
515	27761.64425
516	27753.05323
517	27744.70454
518	27737.40359
519	27729.98806
520	27718.86459
521	27698.01093
522	27684.56224
523	27678.25262
524	27670.42249
525	27664.41201
526	27654.31511
527	27648.02923
528	27639.77895
529	27626.25188
530	27614.12207
531	27606.33265
532	27596.07202
533	27589.21494
534	27585.6368
535	27573.53096
536	27565.93447
537	27555.29028
538	27552.66647
539	27545.41814
540	27541.32424
541	27534.70038
542	27524.81595
543	27517.15757
544	27507.80489
545	27498.65054
546	27483.25266
547	27476.11191
548	27468.38528
549	27462.11454
550	27452.60748
551	27436.65656
552	27421.84337
553	27410.07306
554	27401.90868
555	27393.27582
556	27377.02979
557	27371.25584
558	27365.20106
559	27356.09717
560	27350.12756
561	27343.14042
562	27335.83168
563	27328.48953
564	27320.30807
565	27316.06064
566	27308.12036
567	27295.12278
568	27292.5714
569	27285.55474
570	27279.41107
571	27273.35767
572	27261.20674
573	27255.21498
574	27245.95552
575	27233.62402
576	27229.00028
577	27215.24911
578	27209.46739
579	27202.05992
580	27190.96187
581	27183.4706
582	27174.71854
583	27166.59774
584	27159.24468
585	27152.32095
586	27145.82021
587	27134.79281
588	27124.54321
589	27114.83837
590	27106.31611
591	27096.63227
592	27087.94485
593	27080.51536
594	27075.26925
595	27064.17711
596	27049.2124
597	27043.63178
598	27032.27427
599	27028.77646
600	27023.58907
601	27019.73854
602	27009.38155
603	27002.22578
604	26996.38073
605	26988.91421
606	26976.97752
607	26971.72661
608	26963.90481
609	26956.67487
610	26953.60368
611	26949.91359
612	26944.26549
613	26937.7323
614	26934.08257
615	26925.58705
616	26922.44612
617	26915.60664
618	26907.43929
619	26900.3945
620	26891.86811
621	26889.23098
622	26879.70804
623	26873.79988
624	26869.73363
625	26863.03121
626	26851.70552
627	26849.42693
628	26843.69812
629	26837.24376
630	26828.34834
631	26817.27042
632	26811.00435
633	26800.73183
634	26783.57962
635	26776.75273
636	26766.59053
637	26756.89036
638	26751.59263
639	26746.95571
640	26743.15567
641	26737.4602
642	26733.83638
643	26724.38145
644	26718.23781
645	26710.33974
646	26701.35117
647	26693.49232
648	26687.25763
649	26680.12711
650	26673.52278
651	26670.72625
652	26666.25311
653	26660.68623
654	26653.96771
655	26649.42908
656	26641.0317
657	26632.63127
658	26626.89445
659	26621.33906
660	26618.65584
661	26609.6086
662	26601.71421
663	26586.64883
664	26579.56303
665	26574.21898
666	26567.4314
667	26559.19581
668	26552.35168
669	26542.4612
670	26536.90129
671	26530.59173
672	26521.2948
673	26514.22136
674	26507.27785
675	26502.31441
676	26493.77753
677	26483.40144
678	26477.28592
679	26471.86379
680	26467.77768
681	26463.22385
682	26455.95104
683	26450.49665
684	26441.72825
685	26428.21019
686	26423.03356
687	26417.09678
688	26408.24426
689	26395.69222
690	26387.58101
691	26379.22549
692	26374.96961
693	26367.92066
694	26361.24568
695	26355.67593
696	26348.50313
697	26344.68647
698	26339.35335
699	26328.84678
700	26322.04034
701	26316.60822
702	26310.57664
703	26302.92136
704	26296.04604
705	26286.8308
706	26279.1114
707	26269.34882
708	26264.03025
709	26259.55897
710	26255.01973
711	26245.54436
712	26238.24964
713	26232.74947
714	26217.73255
715	26212.63001
716	26206.76147
717	26203.77659
718	26198.23596
719	26185.21024
720	26174.28962
721	26169.06571
722	26164.80233
723	26160.84926
724	26154.34713
725	26145.99424
726	26138.88644
727	26131.45629
728	26123.83979
729	26116.73959
730	26110.28424
731	26105.85151
732	26101.57198
733	26095.49735
734	26089.88325
735	26084.79406
736	26080.61187
737	26075.09742
738	26070.17836
739	26058.6936
740	26053.06119
741	26048.95687
742	26047.84172
743	26042.30783
744	26039.77735
745	26033.86965
746	26029.9768
747	26022.6346
748	26017.1435
749	26012.50702
750	26009.65526
751	26003.40728
752	25999.92474
753	25993.7354
754	25988.48708
755	25984.95892
756	25977.63309
757	25972.64732
758	25967.07385
759	25965.8706
760	25958.12709
761	25953.66607
762	25946.28848
763	25940.23394
764	25935.5831
765	25932.35576
766	25928.3407
767	25921.58636
768	25918.27402
769	25914.28896
770	25908.8689
771	25905.99571
772	25896.87661
773	25896.04926
774	25892.62501
775	25891.69144
776	25888.38868
777	25883.3082
778	25878.46764
779	25874.14772
780	25871.55229
781	25866.74436
782	25861.25651
783	25857.36647
784	25853.41055
785	25846.71456
786	25839.17644
787	25835.60804
788	25832.66769
789	25827.61521
790	25821.55266
791	25815.72063
792	25811.87815
793	25807.19528
794	25804.24347
795	25799.27519
796	25794.34708
797	25791.70747
798	25783.39991
799	25780.44968
800	25776.13153
801	25774.07131
802	25769.13117
803	25766.30033
804	25758.68429
805	25753.01391
806	25746.46699
807	25743.08643
808	25738.17096
809	25729.13312
810	25723.60353
811	25721.93521
812	25715.96531
813	25711.34788
814	25708.92471
815	25702.39532
816	25696.70924
817	25687.54414
818	25683.47717
819	25678.55753
820	25673.28581
821	25667.60197
822	25658.64976
823	25654.81014
824	25648.68627
825	25644.77262
826	25639.1463
827	25635.30281
828	25634.2315
829	25628.37895
830	25624.1049
831	25618.2698
832	25613.23629
833	25604.81387
834	25601.77218
835	25598.22819
836	25590.38679
837	25585.8669
838	25580.12551
839	25579.73269
840	25578.6646
841	25574.15624
842	25571.80991
843	25566.79043
844	25563.64273
845	25560.26067
846	25556.59753
847	25554.03302
848	25550.77053
849	25548.90083
850	25540.92881
851	25537.21756
852	25533.63186
853	25528.89848
854	25517.41275
855	25512.78033
856	25506.41267
857	25500.17574
858	25496.69414
859	25493.18722
860	25488.31411
861	25478.73553
862	25474.59602
863	25468.80824
864	25465.28714
865	25460.84269
866	25457.11221
867	25453.06606
868	25447.08983
869	25443.6502
870	25436.80863
871	25433.75154
872	25432.87355
873	25429.57823
874	25425.84812
875	25422.74693
876	25419.03182
877	25414.81508
878	25409.97396
879	25406.63216
880	25404.75116
881	25399.87129
882	25394.87174
883	25388.12929
884	25384.16827
885	25375.75546
886	25372.37954
887	25366.81616
888	25364.47694
889	25360.46085
890	25356.72318
891	25353.62807
892	25345.84534
893	25342.69426
894	25339.5978
895	25338.99775
896	25335.71996
897	25330.85051
898	25324.31294
899	25318.62102
900	25316.39055
901	25307.57864
902	25303.74991
903	25300.11045
904	25297.07591
905	25292.64551
906	25288.92246
907	25288.21103
908	25284.9874
909	25280.66197
910	25276.25195
911	25275.33973
912	25270.47339
913	25264.41017
914	25261.31528
915	25258.53133
916	25255.31988
917	25254.59218
918	25248.49919
919	25244.88694
920	25237.25499
921	25231.48131
922	25227.19497
923	25222.69661
924	25217.20432
925	25213.41585
926	25209.45854
927	25205.88402
928	25201.679
929	25198.1161
930	25195.21512
931	25192.84522
932	25191.98498
933	25188.97346
934	25183.41225
935	25176.23131
936	25171.7547
937	25163.35651
938	25159.76514
939	25157.27153
940	25153.04662
941	25151.38034
942	25148.29233
943	25145.68029
944	25139.79455
945	25136.08776
946	25133.84882
947	25131.8676
948	25127.19828
949	25122.399
950	25118.1947
951	25114.9679
952	25111.48425
953	25108.75147
954	25105.67011
955	25103.7406
956	25100.9561
957	25096.0818
958	25091.15726
959	25086.42477
960	25083.45569
961	25080.20226
962	25073.85773
963	25070.28046
964	25068.14167
965	25064.73085
966	25062.1176
967	25057.70602
968	25055.99307
969	25055.21495
970	25052.43866
971	25049.11865
972	25047.44597
973	25040.58144
974	25034.1787
975	25030.55648
976	25027.13475
977	25021.6279
978	25018.92584
979	25016.09705
980	25011.3202
981	25007.54122
982	25005.50019
983	24998.54899
984	24994.8564
985	24990.07762
986	24987.13963
987	24983.6779
988	24979.98901
989	24976.04932
990	24971.23721
991	24967.50777
992	24964.92656
993	24961.54935
994	24959.21127
995	24956.66672
996	24951.46302
997	24945.42639
998	24942.74669
999	24939.86503
