flat_model
New Generation
Model A
Improved
Premium Apartment
Standard
Apartment
Maisonette
Simplified
Type S2
Type S1
Model A2
Adjoined flat
Model A-Maisonette
Terrace
DBSS
Improved-Maisonette
Multi Generation
Premium Maisonette
Premium Apartment Loft
2-room
3Gen
