town,street_names
GEYLANG,"['CIRCUIT ROAD', 'MACPHERSON LANE', 'PAYA LEBAR WAY', 'ALJUNIED CRESCENT', 'JALAN TIGA', 'SIMS PLACE', 'EUNOS CRESCENT', 'BALAM ROAD', 'GEYLANG EAST AVENUE 1', 'PIPIT ROAD', 'UBI AVENUE 1', 'PINE CLOSE', 'SIMS DRIVE', 'GEYLANG SERAI', 'OLD AIRPORT ROAD', 'SIMS AVENUE', 'CASSIA CRESCENT', 'HAIG ROAD', 'EUNOS ROAD 5', 'DAKOTA CRESCENT', 'JALAN DUA', 'JOO CHIAT ROAD', 'ALJUNIED ROAD', 'GEYLANG EAST CENTRAL', 'ALJUNIED AVENUE 2', 'GEYLANG EAST AVENUE 2']"
HOUGANG,"['HOUGANG AVENUE 3', 'HOUGANG STREET 22', 'HOUGANG AVENUE 8', 'HOUGANG STREET 52', 'HOUGANG AVENUE 5', 'HOUGANG STREET 11', 'HOUGANG AVENUE 6', 'HOUGANG STREET 21', 'HOUGANG AVENUE 7', 'HOUGANG AVENUE 1', 'HOUGANG AVENUE 10', 'HOUGANG AVENUE 4', 'BUANGKOK LINK', 'HOUGANG STREET 91', 'HOUGANG AVENUE 2', 'HOUGANG CENTRAL', 'LORONG AH SOO', 'HOUGANG AVENUE 9', 'HOUGANG STREET 92', 'BUANGKOK CRESCENT', 'HOUGANG STREET 51', 'HOUGANG STREET 61', 'HOUGANG STREET 31', 'UPPER SERANGOON ROAD', 'BUANGKOK GREEN', 'UPPER SERANGOON CRESCENT', 'UPPER SERANGOON VIEW', 'HOUGANG STREET 32']"
JURONG EAST,"['JURONG EAST STREET 24', 'JURONG EAST STREET 21', 'JURONG EAST STREET 32', 'JURONG EAST STREET 31', 'TOH GUAN ROAD', 'TEBAN GARDENS ROAD', 'JURONG EAST STREET 13', 'JURONG EAST AVENUE 1', 'PANDAN GARDENS']"
JURONG WEST,"['BOON LAY PLACE', 'JURONG WEST STREET 25', 'JURONG WEST STREET 61', 'JURONG WEST STREET 65', 'JURONG WEST CENTRAL 1', 'JURONG WEST STREET 52', 'BOON LAY DRIVE', 'JURONG WEST STREET 74', 'JURONG WEST AVENUE 1', 'JURONG WEST STREET 93', 'JURONG WEST STREET 81', 'JURONG WEST STREET 73', 'JURONG WEST STREET 64', 'JURONG WEST STREET 41', 'YUAN CHING ROAD', 'JURONG WEST STREET 92', 'JURONG WEST STREET 42', 'JURONG WEST STREET 91', 'JURONG WEST AVENUE 5', 'YUNG AN ROAD', 'JURONG WEST AVENUE 3', 'YUNG SHENG ROAD', 'YUNG HO ROAD', 'KANG CHING ROAD', 'JURONG WEST STREET 71', 'BOON LAY AVENUE', 'JURONG WEST STREET 24', 'JURONG WEST STREET 62', 'YUNG LOH ROAD', 'TAH CHING ROAD', 'CORPORATION DRIVE', 'JURONG WEST STREET 75', 'HO CHING ROAD', 'TAO CHING ROAD', 'JURONG WEST STREET 51', 'JURONG WEST STREET 72', 'YUNG PING ROAD', 'YUNG KUANG ROAD', 'JURONG WEST CENTRAL 3']"
KALLANG/WHAMPOA,"['JALAN BATU NILAM', 'BENDEMEER ROAD', 'UPPER BOON KENG ROAD', 'AH HOOD ROAD', 'LORONG LIMAU', 'TOWNER ROAD', 'GEYLANG BAHRU', 'WHAMPOA DRIVE', ""SAINT GEORGE'S LANE"", 'CRAWFORD LANE', 'SOUTH BUONA VISTA ROAD', 'JALAN BAHAGIA', 'CAMBRIDGE ROAD', 'BEACH ROAD', 'LORONG 3 GEYLANG', 'OWEN ROAD', 'JALAN RAJAH', 'BOON KENG ROAD', 'KALLANG BAHRU', 'MCNAIR ROAD', 'DORSET ROAD', 'RACE COURSE ROAD', 'WHAMPOA WEST', 'WHAMPOA ROAD', ""SAINT GEORGE'S ROAD"", 'FARRER PARK ROAD', 'JALAN TENTERAM', 'JALAN JAMBU BATU', 'JELLICOE ROAD', 'TESSENSOHN ROAD', 'FRENCH ROAD', 'KAMPONG ARANG ROAD', 'KENT ROAD', 'WHAMPOA SOUTH', 'JALAN GALI BATU', ""KING GEORGE'S AVENUE"", ""JALAN MA'MOR"", 'GLOUCESTER ROAD', 'NORTH BRIDGE ROAD', 'KAMPONG KAYU ROAD', 'JALAN BATU', 'MOULMEIN ROAD', 'ANDOVER ROAD', 'JALAN DUSUN']"
MARINE PARADE,"['MARINE TERRACE', 'MARINE DRIVE', 'MARINE CRESCENT', 'TUAS CRESCENT', 'MARINE PARADE CENTRAL']"
PASIR RIS,"['PASIR RIS DRIVE 3', 'PASIR RIS DRIVE 6', 'PASIR RIS STREET 52', 'PASIR RIS STREET 12', 'PASIR RIS STREET 71', 'PASIR RIS STREET 11', 'PASIR RIS DRIVE 1', 'PASIR RIS STREET 21', 'PASIR RIS STREET 51', 'PASIR RIS DRIVE 4', 'PASIR RIS STREET 72', 'PASIR RIS DRIVE 10', 'PASIR RIS STREET 41', 'PASIR RIS STREET 13', 'ELIAS ROAD', 'PASIR RIS STREET 53', 'CHANGI VILLAGE ROAD']"
PUNGGOL,"['EDGEDALE PLAINS', 'PUNGGOL FIELD', 'PUNGGOL CENTRAL', 'PUNGGOL PLACE', 'EDGEFIELD PLAINS', 'PUNGGOL DRIVE', 'PUNGGOL EAST', 'PUNGGOL ROAD', 'PUNGGOL FIELD WALK', 'PUNGGOL WALK', 'PUNGGOL WAY', 'SUMANG LINK', 'SUMANG WALK', 'SUMANG LANE']"
QUEENSTOWN,"['GHIM MOH ROAD', 'HOLLAND DRIVE', 'STRATHMORE AVENUE', 'TANGLIN HALT ROAD', 'DOVER CRESCENT', 'COMMONWEALTH CLOSE', 'STIRLING ROAD', 'GHIM MOH LINK', 'COMMONWEALTH DRIVE', 'QUEENSWAY', 'HOLLAND AVENUE', 'MEI LING STREET', ""QUEEN'S CLOSE"", 'COMMONWEALTH CRESCENT', 'HOLLAND CLOSE', 'CLARENCE LANE', 'DOVER ROAD', 'DOVER CLOSE EAST', 'HOLLAND GROVE DRIVE', 'COMMONWEALTH AVENUE', 'MOONBEAM DRIVE', 'DAWSON ROAD']"
SEMBAWANG,"['WELLINGTON CIRCLE', 'SEMBAWANG VISTA', 'CANBERRA ROAD', 'SEMBAWANG CLOSE', 'ADMIRALTY DRIVE', 'SEMBAWANG DRIVE', 'ADMIRALTY LINK', 'SEMBAWANG CRESCENT', 'MONTREAL DRIVE', 'CANBERRA LINK', 'SEMBAWANG WAY', 'MONTREAL LINK', 'CANBERRA CRESCENT', 'CANBERRA STREET', 'CANBERRA WALK']"
SENGKANG,"['RIVERVALE CRESCENT', 'ANCHORVALE LINK', 'RIVERVALE DRIVE', 'ANCHORVALE DRIVE', 'COMPASSVALE ROAD', 'COMPASSVALE LANE', 'SENGKANG WEST AVENUE', 'SENGKANG CENTRAL', 'COMPASSVALE STREET', 'COMPASSVALE WALK', 'RIVERVALE WALK', 'SENGKANG EAST ROAD', 'ANCHORVALE ROAD', 'FERNVALE ROAD', 'RIVERVALE STREET', 'ANCHORVALE LANE', 'COMPASSVALE LINK', 'COMPASSVALE DRIVE', 'SENGKANG EAST WAY', 'COMPASSVALE BOW', 'COMPASSVALE CRESCENT', 'FERNVALE LINK', 'FERNVALE LANE', 'JALAN KAYU', 'SENGKANG WEST WAY', 'SENGKANG EAST AVENUE', 'ANCHORVALE CRESCENT', 'ANCHORVALE STREET', 'FERNVALE STREET']"
SERANGOON,"['SERANGOON AVENUE 4', 'SERANGOON AVENUE 2', 'SERANGOON NORTH AVENUE 3', 'LORONG LEW LIAN', 'SERANGOON NORTH AVENUE 1', 'SERANGOON CENTRAL', 'SERANGOON NORTH AVENUE 4', 'SERANGOON AVENUE 3', 'SERANGOON NORTH AVENUE 2', 'SERANGOON AVENUE 1', 'SERANGOON CENTRAL DRIVE']"
TAMPINES,"['TAMPINES STREET 43', 'TAMPINES STREET 44', 'TAMPINES STREET 42', 'TAMPINES STREET 21', 'TAMPINES STREET 81', 'SIMEI STREET 1', 'TAMPINES STREET 34', 'TAMPINES STREET 82', 'TAMPINES STREET 22', 'TAMPINES STREET 45', 'TAMPINES STREET 71', 'TAMPINES STREET 12', 'TAMPINES STREET 41', 'TAMPINES STREET 72', 'TAMPINES CENTRAL 1', 'TAMPINES STREET 33', 'TAMPINES STREET 24', 'TAMPINES STREET 11', 'TAMPINES AVENUE 5', 'TAMPINES STREET 23', 'TAMPINES STREET 91', 'TAMPINES STREET 83', 'TAMPINES AVENUE 7', 'TAMPINES STREET 32', 'TAMPINES AVENUE 4', 'SIMEI ROAD', 'SIMEI STREET 4', 'SIMEI STREET 2', 'TAMPINES AVENUE 9', 'SIMEI STREET 5', 'TAMPINES CENTRAL 7', 'TAMPINES STREET 84', 'TAMPINES AVENUE 8', 'SIMEI LANE', 'TAMPINES CENTRAL 8', 'TAMPINES AVENUE 1', 'TAMPINES STREET 86']"
TOA PAYOH,"['KIM KEAT AVENUE', 'LORONG 7 TOA PAYOH', 'LORONG 1 TOA PAYOH', 'LORONG 4 TOA PAYOH', 'KIM KEAT LINK', 'TOA PAYOH EAST', 'TOA PAYOH CENTRAL', 'LORONG 2 TOA PAYOH', 'JOO SENG ROAD', 'TOA PAYOH NORTH', 'POTONG PASIR AVENUE 1', 'LORONG 8 TOA PAYOH', 'LORONG 6 TOA PAYOH', 'UPPER ALJUNIED LANE', 'POTONG PASIR AVENUE 3', 'POTONG PASIR AVENUE 2', 'LORONG 3 TOA PAYOH', 'LORONG 5 TOA PAYOH', 'LORONG 1A TOA PAYOH']"
WOODLANDS,"['MARSILING RISE', 'MARSILING DRIVE', 'WOODLANDS CIRCLE', 'WOODLANDS STREET 41', 'WOODLANDS DRIVE 40', 'WOODLANDS DRIVE 50', 'WOODLANDS AVENUE 1', 'WOODLANDS DRIVE 53', 'WOODLANDS DRIVE 16', 'MARSILING LANE', 'WOODLANDS STREET 13', 'WOODLANDS AVENUE 4', 'WOODLANDS STREET 31', 'WOODLANDS DRIVE 14', 'WOODLANDS DRIVE 75', 'WOODLANDS AVENUE 6', 'WOODLANDS DRIVE 52', 'WOODLANDS STREET 81', 'WOODLANDS RING ROAD', 'WOODLANDS STREET 32', 'WOODLANDS DRIVE 60', 'WOODLANDS DRIVE 42', 'WOODLANDS STREET 82', 'WOODLANDS AVENUE 9', 'WOODLANDS STREET 83', 'MARSILING CRESCENT', 'WOODLANDS CRESCENT', 'WOODLANDS DRIVE 62', 'MARSILING ROAD', 'WOODLANDS DRIVE 70', 'WOODLANDS AVENUE 5', 'WOODLANDS DRIVE 44', 'WOODLANDS DRIVE 73', 'WOODLANDS AVENUE 3', 'WOODLANDS DRIVE 72', 'WOODLANDS DRIVE 71', 'WOODLANDS STREET 11', 'WOODLANDS RISE']"
YISHUN,"['YISHUN RING ROAD', 'YISHUN STREET 22', 'YISHUN STREET 61', 'YISHUN STREET 72', 'YISHUN STREET 81', 'YISHUN AVENUE 4', 'YISHUN CENTRAL', 'YISHUN AVENUE 6', 'YISHUN STREET 11', 'YISHUN STREET 71', 'YISHUN AVENUE 5', 'YISHUN STREET 21', 'YISHUN AVENUE 11', 'YISHUN STREET 20', 'YISHUN AVENUE 2', 'YISHUN AVENUE 7', 'YISHUN CENTRAL 1', 'YISHUN AVENUE 3', 'YISHUN AVENUE 9', 'YISHUN STREET 41', 'YISHUN STREET 31', 'YISHUN AVENUE 1', 'YISHUN STREET 51']"
