storey_range
04 TO 06
10 TO 12
01 TO 03
07 TO 09
19 TO 21
13 TO 15
16 TO 18
28 TO 30
34 TO 36
37 TO 39
25 TO 27
22 TO 24
49 TO 51
40 TO 42
31 TO 33
46 TO 48
43 TO 45
